Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,43.25,43.48,43.18,43.48,54200,43.48
2017-02-23,43.529999,43.529999,43.25,43.419998,89200,43.419998
2017-02-22,43.73,43.759998,43.560001,43.580002,80200,43.580002
2017-02-21,43.490002,43.669998,43.470001,43.599998,74200,43.599998
2017-02-17,42.950001,43.18,42.950001,43.18,35000,43.18
2017-02-16,43.110001,43.110001,42.84,43.07,113900,43.07
2017-02-15,42.98,43.16,42.880001,43.099998,132700,43.099998
2017-02-14,42.610001,42.869999,42.529999,42.860001,139600,42.860001
2017-02-13,42.740002,42.790001,42.669998,42.700001,170500,42.700001
2017-02-10,42.48,42.599998,42.360001,42.529999,194900,42.529999
2017-02-09,42.209999,42.59,42.200001,42.540001,34900,42.540001
2017-02-08,42.240002,42.34,42.080002,42.290001,33400,42.290001
2017-02-07,42.419998,42.450001,42.259998,42.290001,183700,42.290001
2017-02-06,42.07,42.259998,42.009998,42.049999,34200,42.049999
2017-02-03,41.830002,41.98,41.799999,41.950001,42300,41.950001
2017-02-02,41.509998,41.650002,41.380001,41.59,43300,41.59
2017-02-01,41.900002,41.950001,41.580002,41.66,77800,41.66
2017-01-31,41.490002,41.57,41.25,41.540001,83300,41.540001
2017-01-30,42.130001,42.130001,41.549999,41.900002,79300,41.900002
2017-01-27,42.259998,42.259998,42.099998,42.220001,27000,42.220001
2017-01-26,42.220001,42.290001,42.119999,42.169998,40700,42.169998
2017-01-25,42.150002,42.189999,42.02,42.119999,30200,42.119999
2017-01-24,41.959999,42.130001,41.759998,42.07,76900,42.07
2017-01-23,42.349998,42.400002,41.990002,42.080002,68600,42.080002
2017-01-20,42.41,42.599998,42.23,42.34,49300,42.34
2017-01-19,42.290001,42.380001,42.169998,42.189999,26700,42.189999
2017-01-18,41.599998,42.200001,41.470001,42.18,39300,42.18
2017-01-17,41.599998,41.599998,41.349998,41.419998,65400,41.419998
2017-01-16,41.950001,42.50,41.84,42.389999,23100,42.389999
2017-01-13,41.82,42.00,41.810001,41.84,22800,41.84
2017-01-12,41.689999,41.779999,41.419998,41.779999,49200,41.779999
2017-01-11,42.169998,42.32,41.639999,41.990002,64500,41.990002
2017-01-10,42.00,42.169998,41.889999,42.07,35600,42.07
2017-01-09,42.200001,42.200001,42.02,42.02,45400,42.02
2017-01-06,42.119999,42.330002,41.900002,42.240002,38700,42.240002
2017-01-05,42.290001,42.290001,41.84,42.099998,45900,42.099998
2017-01-04,42.220001,42.459999,42.220001,42.369999,23700,42.369999
2017-01-03,42.509998,42.580002,42.18,42.43,47300,42.43
2016-12-30,42.439999,42.439999,42.049999,42.099998,39100,42.099998
2016-12-29,42.599998,42.700001,42.41,42.509998,29800,42.509998
2016-12-28,43.16,43.16,42.630001,42.650002,23600,42.650002
2016-12-23,42.950001,43.049999,42.93,43.049999,36900,42.859999
2016-12-22,42.849998,42.91,42.700001,42.830002,19000,42.640972
2016-12-21,42.73,42.779999,42.650002,42.689999,13300,42.501587
2016-12-20,42.830002,42.830002,42.619999,42.630001,31700,42.441854
2016-12-19,42.529999,42.720001,42.529999,42.700001,21700,42.511545
2016-12-16,42.610001,42.669998,42.279999,42.279999,46700,42.093397
2016-12-15,42.389999,42.799999,42.389999,42.419998,27800,42.232778
2016-12-14,41.880001,42.25,41.700001,42.07,26400,41.884324
2016-12-13,41.75,41.990002,41.75,41.900002,23500,41.715076
2016-12-12,41.849998,41.849998,41.650002,41.700001,29400,41.515958
2016-12-09,41.849998,41.939999,41.77,41.939999,42000,41.754897
2016-12-08,41.810001,41.939999,41.68,41.790001,28000,41.605561
2016-12-07,41.41,41.77,41.290001,41.77,32900,41.585649
2016-12-06,41.310001,41.419998,41.189999,41.41,16600,41.227237
2016-12-05,41.060001,41.200001,41.060001,41.169998,16900,40.988295
2016-12-02,40.900002,41.07,40.869999,40.900002,17300,40.71949
2016-12-01,41.41,41.41,40.939999,41.00,29900,40.819047
2016-11-30,41.75,41.759998,41.57,41.580002,16000,41.396489
2016-11-29,41.66,41.720001,41.580002,41.639999,16900,41.456222
2016-11-28,41.75,41.759998,41.509998,41.509998,43000,41.326795
2016-11-25,41.990002,42.740002,41.900002,42.639999,44900,42.451808
2016-11-24,41.860001,42.189999,41.799999,42.150002,31900,41.963973
2016-11-23,41.669998,41.860001,41.610001,41.860001,16000,41.675252
2016-11-22,41.439999,41.689999,41.41,41.669998,25300,41.486088
2016-11-21,41.27,41.470001,41.18,41.41,37600,41.227237
2016-11-18,41.52,41.549999,41.360001,41.419998,10000,41.237192
2016-11-17,40.98,41.470001,40.98,41.470001,21800,41.286974
2016-11-16,41.080002,41.150002,40.91,41.049999,15300,40.868826
2016-11-15,41.209999,41.209999,40.93,41.130001,45600,40.948474
2016-11-14,41.110001,41.290001,41.080002,41.150002,113400,40.968387
2016-11-11,40.810001,41.00,40.73,41.00,21400,40.819047
2016-11-10,40.889999,41.049999,40.549999,40.810001,20600,40.629887
2016-11-09,39.619999,40.50,39.619999,40.360001,62500,40.181872
2016-11-08,39.599998,39.830002,39.540001,39.630001,20200,39.455095
2016-11-07,39.349998,39.68,39.349998,39.669998,32700,39.494915
2016-11-04,38.990002,39.18,38.900002,38.93,19800,38.758183
2016-11-03,39.189999,39.189999,38.84,38.880001,15100,38.708405
2016-11-02,39.330002,39.330002,38.990002,39.080002,21600,38.907523
2016-11-01,39.720001,39.720001,39.16,39.349998,18700,39.176328
2016-10-31,39.759998,39.759998,39.700001,39.73,6300,39.554652
2016-10-28,39.75,39.830002,39.549999,39.580002,25100,39.405316
2016-10-27,40.029999,40.029999,39.73,39.740002,15700,39.56461
2016-10-26,39.689999,39.869999,39.689999,39.860001,3900,39.684079
2016-10-25,40.02,40.02,39.830002,39.860001,28000,39.684079
2016-10-24,40.00,40.150002,40.00,40.150002,20200,39.9728
2016-10-21,39.650002,39.82,39.619999,39.779999,16600,39.60443
2016-10-20,39.310001,39.52,39.310001,39.48,9700,39.305755
2016-10-19,39.139999,39.34,38.900002,39.27,12500,39.096683
2016-10-18,39.09,39.200001,39.060001,39.150002,11600,38.977214
2016-10-17,39.130001,39.130001,38.900002,38.900002,23100,38.728317
2016-10-14,39.25,39.349998,39.049999,39.119999,22900,38.947343
2016-10-13,39.279999,39.32,39.080002,39.240002,13600,39.066816
2016-10-12,39.529999,39.650002,39.529999,39.580002,18400,39.405316
2016-10-11,39.82,39.82,39.389999,39.459999,31200,39.285843
2016-10-07,39.75,39.959999,39.75,39.939999,19000,39.763724
2016-10-06,39.869999,39.900002,39.68,39.860001,12800,39.684079
2016-10-05,39.77,39.869999,39.73,39.759998,10100,39.584518
2016-10-04,39.700001,39.790001,39.560001,39.599998,21600,39.425224
2016-10-03,39.639999,39.66,39.50,39.549999,17700,39.375446
2016-09-30,39.549999,39.82,39.509998,39.73,19500,39.554652
2016-09-29,39.599998,39.66,39.450001,39.529999,18100,39.355534
2016-09-28,39.900002,39.950001,39.689999,39.759998,7400,39.584518
2016-09-27,39.759998,39.860001,39.700001,39.779999,20400,39.60443
2016-09-26,39.639999,39.700001,39.59,39.700001,11700,39.524785
2016-09-23,39.900002,39.900002,39.799999,39.869999,15800,39.694033
2016-09-22,39.50,39.720001,39.490002,39.700001,18800,39.524785
2016-09-21,39.450001,39.650002,39.34,39.540001,34400,39.365492
2016-09-20,39.580002,39.68,39.419998,39.419998,25700,39.246019
2016-09-19,39.380001,39.549999,39.32,39.439999,73700,39.265931
2016-09-16,39.509998,39.509998,39.240002,39.380001,35400,39.206198
2016-09-15,39.09,39.349998,39.060001,39.349998,11200,39.176328
2016-09-14,39.23,39.23,39.040001,39.060001,39700,38.887611
2016-09-13,39.299999,39.299999,38.950001,39.060001,25800,38.887611
2016-09-12,38.900002,39.459999,38.900002,39.450001,77100,39.113609
2016-09-09,39.509998,39.509998,38.880001,38.880001,16700,38.54847
2016-09-08,39.50,39.540001,39.43,39.540001,6000,39.202842
2016-09-07,39.25,39.529999,39.240002,39.509998,13100,39.173095
2016-09-06,39.48,39.490002,39.099998,39.310001,21400,38.974803
2016-09-05,39.68,39.68,39.68,39.68,000,39.341647
2016-09-02,39.720001,39.779999,39.549999,39.66,15900,39.321817
2016-09-01,39.91,39.91,39.549999,39.68,16600,39.341647
2016-08-31,39.970001,39.970001,39.73,39.82,7800,39.480453
2016-08-30,39.849998,39.880001,39.759998,39.860001,12700,39.520113
2016-08-29,39.529999,39.77,39.529999,39.700001,9600,39.361477
2016-08-26,39.25,39.48,39.200001,39.419998,28000,39.083862
2016-08-25,39.27,39.380001,39.25,39.27,5600,38.935144
2016-08-24,39.52,39.52,39.290001,39.290001,7400,38.954973
2016-08-23,39.470001,39.59,39.41,39.509998,11700,39.173095
2016-08-22,39.220001,39.48,39.220001,39.48,7800,39.143352
2016-08-19,39.150002,39.240002,39.150002,39.220001,3400,38.885571
2016-08-18,39.009998,39.029999,38.900002,38.970001,10800,38.637702
2016-08-17,39.189999,39.189999,38.98,39.139999,33600,38.806251
2016-08-16,39.27,39.27,39.099998,39.099998,14200,38.766591
2016-08-15,39.50,39.560001,39.48,39.50,10900,39.163182
2016-08-12,39.450001,39.48,39.380001,39.48,13000,39.143352
2016-08-11,39.650002,39.68,39.52,39.57,12400,39.232585
2016-08-10,39.560001,39.68,39.560001,39.619999,15500,39.282158
2016-08-09,40.029999,40.049999,39.91,39.919998,23500,39.579599
2016-08-08,40.049999,40.09,39.939999,40.009998,11800,39.668831
2016-08-05,39.810001,40.119999,39.810001,39.98,14000,39.639088
2016-08-04,39.380001,39.380001,39.240002,39.279999,11400,38.945057
2016-08-03,39.389999,39.400002,39.299999,39.380001,23000,39.044206
2016-08-02,39.470001,39.470001,39.18,39.32,19100,38.984716
2016-07-29,39.610001,39.619999,39.400002,39.50,22700,39.163182
2016-07-28,39.700001,39.830002,39.639999,39.82,22700,39.480453
