Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,31.190001,31.26,31.16,31.26,36300,31.26
2017-02-23,31.09,31.120001,31.08,31.110001,55600,31.110001
2017-02-22,31.09,31.09,31.00,31.040001,48400,31.040001
2017-02-21,30.959999,31.040001,30.959999,31.02,82600,31.02
2017-02-17,31.120001,31.129999,31.08,31.08,51700,31.009999
2017-02-16,31.030001,31.07,31.01,31.049999,285000,30.980066
2017-02-15,30.959999,31.00,30.950001,30.98,258500,30.910224
2017-02-14,31.059999,31.059999,30.959999,31.00,81400,30.930179
2017-02-13,31.110001,31.110001,31.059999,31.07,47700,31.000021
2017-02-10,31.110001,31.15,31.10,31.139999,34800,31.069863
2017-02-09,31.280001,31.280001,31.16,31.17,51600,31.099796
2017-02-08,31.23,31.299999,31.23,31.27,195100,31.199572
2017-02-07,31.110001,31.18,31.110001,31.17,38400,31.099796
2017-02-06,31.09,31.120001,31.049999,31.120001,45400,31.04991
2017-02-03,31.040001,31.059999,30.940001,31.00,83600,30.930179
2017-02-02,31.049999,31.09,31.02,31.030001,39900,30.960112
2017-02-01,30.940001,31.00,30.93,31.00,39500,30.930179
2017-01-31,30.959999,31.01,30.940001,31.00,42200,30.930179
2017-01-30,30.950001,30.959999,30.92,30.93,48400,30.860337
2017-01-27,30.91,30.950001,30.889999,30.940001,33700,30.870315
2017-01-26,30.879999,30.889999,30.809999,30.889999,40400,30.820426
2017-01-25,30.90,30.93,30.85,30.860001,62000,30.790495
2017-01-24,31.049999,31.059999,30.959999,30.99,118500,30.920202
2017-01-23,31.120001,31.24,31.10,31.219999,94700,31.079841
2017-01-20,31.09,31.09,31.040001,31.07,72600,30.930515
2017-01-19,31.10,31.110001,31.059999,31.07,62100,30.930515
2017-01-18,31.18,31.23,31.120001,31.139999,79100,31.000201
2017-01-17,31.25,31.25,31.18,31.209999,48600,31.069886
2017-01-16,31.200001,31.219999,31.18,31.190001,51700,31.049977
2017-01-13,31.209999,31.209999,31.120001,31.139999,62500,31.000201
2017-01-12,31.280001,31.34,31.26,31.27,61400,31.129618
2017-01-11,31.23,31.280001,31.209999,31.219999,66400,31.079841
2017-01-10,31.24,31.25,31.200001,31.209999,46600,31.069886
2017-01-09,31.25,31.25,31.18,31.190001,78200,31.049977
2017-01-06,31.15,31.17,31.120001,31.15,49300,31.010156
2017-01-05,31.200001,31.25,31.18,31.23,58600,31.089797
2017-01-04,31.10,31.16,31.09,31.16,510700,31.020111
2017-01-03,31.00,31.08,30.98,31.07,31300,30.930515
2016-12-30,31.10,31.139999,31.10,31.120001,23700,30.980292
2016-12-29,31.059999,31.09,31.049999,31.07,85400,30.930515
2016-12-28,30.969999,31.07,30.969999,31.07,101400,30.930515
2016-12-23,31.049999,31.049999,30.98,30.99,56000,30.780193
2016-12-22,30.92,30.98,30.92,30.959999,74200,30.750396
2016-12-21,30.98,31.00,30.950001,30.969999,145700,30.760328
2016-12-20,30.969999,30.99,30.92,30.969999,101000,30.760328
2016-12-19,30.93,30.98,30.93,30.98,61000,30.770261
2016-12-16,30.91,30.950001,30.85,30.889999,199900,30.68087
2016-12-15,30.940001,30.969999,30.870001,30.90,162100,30.690802
2016-12-14,31.08,31.110001,30.98,30.98,89200,30.770261
2016-12-13,31.040001,31.07,30.940001,31.01,61500,30.800058
2016-12-12,30.99,31.01,30.93,30.969999,84800,30.760328
2016-12-09,31.15,31.16,31.030001,31.049999,68500,30.839787
2016-12-08,31.24,31.24,31.17,31.190001,89900,30.97884
2016-12-07,31.24,31.290001,31.24,31.280001,60000,31.068231
2016-12-06,31.280001,31.280001,31.219999,31.219999,67200,31.008636
2016-12-05,31.18,31.27,31.129999,31.25,203100,31.038433
2016-12-02,31.18,31.290001,31.18,31.23,59800,31.018568
2016-12-01,31.190001,31.200001,31.110001,31.17,147300,30.958975
2016-11-30,31.379999,31.389999,31.33,31.34,136600,31.127824
2016-11-29,31.40,31.48,31.379999,31.48,78300,31.266876
2016-11-28,31.42,31.450001,31.379999,31.42,57000,31.207282
2016-11-25,31.34,31.379999,31.33,31.34,23300,31.127824
2016-11-24,31.32,31.34,31.299999,31.299999,26300,31.088094
2016-11-23,31.27,31.34,31.24,31.34,224900,31.127824
2016-11-22,31.42,31.48,31.41,31.440001,83600,31.156628
2016-11-21,31.370001,31.41,31.35,31.40,78900,31.116988
2016-11-18,31.450001,31.450001,31.370001,31.379999,68800,31.097168
2016-11-17,31.48,31.48,31.40,31.42,75600,31.136808
2016-11-16,31.41,31.49,31.41,31.48,61900,31.196267
2016-11-15,31.41,31.440001,31.40,31.40,37400,31.116988
2016-11-14,31.41,31.43,31.32,31.360001,132000,31.077349
2016-11-11,31.60,31.68,31.60,31.67,43100,31.384555
2016-11-10,31.68,31.68,31.57,31.610001,100800,31.325096
2016-11-09,31.870001,31.870001,31.73,31.74,88000,31.453923
2016-11-08,32.049999,32.060001,31.93,31.940001,43200,31.652122
2016-11-07,32.049999,32.07,32.02,32.029999,53500,31.741309
2016-11-04,32.119999,32.169998,32.099998,32.169998,56800,31.880046
2016-11-03,32.099998,32.110001,32.060001,32.09,44900,31.800769
2016-11-02,32.099998,32.16,32.080002,32.119999,68700,31.830498
2016-11-01,32.049999,32.099998,32.00,32.080002,99100,31.790861
2016-10-31,32.07,32.080002,32.040001,32.07,63000,31.780949
2016-10-28,32.009998,32.02,31.959999,32.009998,59400,31.721488
2016-10-27,32.060001,32.060001,31.98,32.009998,40900,31.721488
2016-10-26,32.150002,32.150002,32.110001,32.139999,93900,31.850318
2016-10-25,32.18,32.209999,32.169998,32.189999,58900,31.899866
