Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,27.110001,27.139999,27.030001,27.120001,50200,27.120001
2017-02-23,27.42,27.440001,27.299999,27.360001,58500,27.360001
2017-02-22,27.360001,27.440001,27.32,27.40,27400,27.40
2017-02-21,27.299999,27.389999,27.299999,27.365,35900,27.365
2017-02-17,27.059999,27.23,27.059999,27.23,38100,27.23
2017-02-16,27.129999,27.23,27.08,27.23,42400,27.23
2017-02-15,26.99,27.15,26.99,27.15,54600,27.15
2017-02-14,27.049999,27.059999,26.91,27.049999,66300,27.049999
2017-02-13,27.08,27.139999,27.059999,27.09,37600,27.09
2017-02-10,26.940001,27.00,26.889999,26.99,39300,26.99
2017-02-09,26.92,27.059999,26.92,27.01,32400,27.01
2017-02-08,26.91,27.02,26.90,26.99,38600,26.99
2017-02-07,26.93,26.950001,26.889999,26.950001,53600,26.950001
2017-02-06,26.74,26.799999,26.74,26.799999,43700,26.799999
2017-02-03,26.780001,26.860001,26.780001,26.860001,19200,26.860001
2017-02-02,26.73,26.799999,26.68,26.75,49900,26.75
2017-02-01,26.85,26.889999,26.785,26.83,38600,26.83
2017-01-31,26.67,26.67,26.549999,26.67,57500,26.67
2017-01-30,26.780001,26.809999,26.60,26.809999,71800,26.809999
2017-01-27,26.99,27.00,26.90,27.00,34700,27.00
2017-01-26,27.00,27.02,26.950001,26.969999,63100,26.969999
2017-01-25,27.02,27.02,26.92,27.01,60600,27.01
2017-01-24,26.950001,26.959999,26.799999,26.91,53600,26.91
2017-01-23,27.09,27.10,26.99,27.08,42000,27.08
2017-01-20,27.030001,27.129999,27.01,27.10,33600,27.10
2017-01-19,26.959999,26.98,26.889999,26.940001,53000,26.940001
2017-01-18,26.559999,26.90,26.48,26.90,52600,26.90
2017-01-17,26.559999,27.10,26.50,26.57,127300,26.57
2017-01-16,26.809999,27.08,26.75,27.059999,41600,27.059999
2017-01-13,26.73,26.76,26.690001,26.75,59500,26.75
2017-01-12,26.65,26.67,26.59,26.65,66500,26.65
2017-01-11,26.639999,26.76,26.610001,26.74,54900,26.74
2017-01-10,26.66,26.74,26.629999,26.719999,46100,26.719999
2017-01-09,26.719999,26.719999,26.620001,26.700001,47100,26.700001
2017-01-06,26.73,26.799999,26.65,26.76,132300,26.76
2017-01-05,26.809999,26.870001,26.719999,26.85,51200,26.85
2017-01-04,26.67,26.75,26.549999,26.75,57700,26.75
2017-01-03,26.73,26.73,26.57,26.690001,72300,26.690001
2016-12-30,26.620001,26.639999,26.48,26.58,42300,26.58
2016-12-29,26.60,26.67,26.559999,26.620001,28900,26.620001
2016-12-28,26.83,26.85,26.549999,26.58,75400,26.58
2016-12-23,26.90,26.92,26.790001,26.889999,22600,26.684999
2016-12-22,26.76,26.809999,26.700001,26.77,74100,26.565915
2016-12-21,26.57,26.65,26.57,26.645,10800,26.441868
2016-12-20,26.610001,26.610001,26.51,26.52,55600,26.317821
2016-12-19,26.57,26.65,26.57,26.629999,29000,26.426981
2016-12-16,26.52,26.52,26.40,26.459999,35300,26.258277
2016-12-15,26.549999,26.559999,26.40,26.469999,50100,26.268201
2016-12-14,26.42,26.50,26.33,26.35,29800,26.149117
2016-12-13,26.309999,26.48,26.309999,26.469999,147500,26.268201
2016-12-12,26.26,26.26,26.18,26.18,25900,25.980413
2016-12-09,26.35,26.379999,26.299999,26.379999,59500,26.178887
2016-12-08,26.41,26.41,26.24,26.33,21300,26.129269
2016-12-07,26.290001,26.51,26.27,26.309999,76400,26.109421
2016-12-06,25.99,26.200001,25.99,26.07,18300,25.871251
2016-12-05,25.799999,26.00,25.799999,25.950001,41200,25.752166
2016-12-02,25.67,25.82,25.620001,25.790001,17300,25.593386
2016-12-01,25.969999,25.969999,25.73,25.799999,68500,25.603308
2016-11-30,26.200001,26.200001,26.059999,26.120001,84300,25.920871
2016-11-29,26.059999,26.15,25.99,26.129999,11000,25.930793
2016-11-28,26.07,26.07,25.93,25.959999,40300,25.762089
2016-11-25,26.24,26.34,26.17,26.27,24200,26.069727
2016-11-24,26.110001,26.15,26.049999,26.049999,15000,25.851403
2016-11-23,26.07,26.110001,25.99,26.10,26000,25.901023
2016-11-22,26.030001,26.16,25.969999,26.16,14300,25.960565
2016-11-21,25.98,26.00,25.879999,25.959999,31300,25.762089
2016-11-18,26.07,26.07,25.91,26.02,21900,25.821632
2016-11-17,25.99,26.219999,25.959999,26.219999,26800,26.020107
2016-11-16,25.98,26.040001,25.860001,25.879999,61000,25.682699
2016-11-15,26.23,26.23,26.09,26.16,25400,25.960565
2016-11-14,26.290001,26.290001,26.200001,26.285,42900,26.084612
2016-11-11,26.379999,26.43,26.27,26.35,15300,26.149117
2016-11-10,26.530001,26.60,26.299999,26.440001,28600,26.238431
2016-11-09,26.15,26.51,26.139999,26.389999,82400,26.188811
2016-11-08,26.200001,26.33,26.15,26.225,14500,26.02507
2016-11-07,26.299999,26.33,26.200001,26.25,20000,26.049879
2016-11-04,26.15,26.15,26.00,26.00,19400,25.801785
2016-11-03,26.35,26.35,26.155001,26.155001,22800,25.955604
2016-11-02,26.379999,26.379999,26.16,26.23,47300,26.030031
2016-11-01,26.549999,26.549999,26.27,26.34,15200,26.139193
2016-10-31,26.530001,26.58,26.43,26.540001,49400,26.337669
2016-10-28,26.49,26.530001,26.450001,26.459999,9300,26.258277
2016-10-27,26.559999,26.58,26.459999,26.540001,22600,26.337669
2016-10-26,26.49,26.559999,26.450001,26.530001,20900,26.327745
2016-10-25,26.57,26.58,26.50,26.58,23100,26.377363
2016-10-24,26.700001,26.74,26.549999,26.68,24300,26.476601
2016-10-21,26.49,26.59,26.35,26.59,23400,26.387287
2016-10-20,26.309999,26.450001,26.309999,26.450001,10800,26.248355
2016-10-19,26.10,26.25,26.030001,26.23,22200,26.030031
2016-10-18,26.040001,26.18,26.040001,26.15,25100,25.950641
2016-10-17,25.959999,25.98,25.85,25.870001,44100,25.672776
2016-10-14,26.190001,26.190001,25.950001,25.959999,24100,25.762089
2016-10-13,26.01,26.09,25.93,26.08,42400,25.881175
2016-10-12,26.23,26.299999,26.23,26.27,11600,26.069727
2016-10-11,26.50,26.51,26.190001,26.190001,31200,25.990337
2016-10-07,26.60,26.65,26.52,26.65,24100,26.446829
2016-10-06,26.68,26.700001,26.60,26.629999,13500,26.426981
2016-10-05,26.809999,26.809999,26.68,26.77,18400,26.565915
2016-10-04,26.620001,26.75,26.549999,26.549999,16900,26.347591
2016-10-03,26.559999,26.58,26.49,26.51,36100,26.307897
2016-09-30,26.469999,26.67,26.450001,26.530001,67700,26.327745
2016-09-29,26.540001,26.66,26.48,26.50,63600,26.297973
2016-09-28,26.85,26.85,26.68,26.690001,14700,26.486525
2016-09-27,26.690001,26.74,26.60,26.719999,23400,26.516295
2016-09-26,26.559999,26.68,26.450001,26.67,36800,26.466677
2016-09-23,26.74,26.790001,26.68,26.775,23500,26.570876
2016-09-22,26.719999,26.799999,26.709999,26.77,20700,26.565915
2016-09-21,26.49,26.620001,26.49,26.51,20500,26.307897
2016-09-20,26.450001,26.459999,26.209999,26.209999,28300,26.010183
2016-09-19,26.219999,26.27,26.17,26.17,28200,25.970489
2016-09-16,26.16,26.16,26.01,26.10,19300,25.901023
2016-09-15,26.15,26.299999,26.129999,26.299999,10600,26.099497
2016-09-14,26.16,26.17,26.07,26.07,25500,25.871251
2016-09-13,26.23,26.24,26.00,26.129999,29900,25.930793
2016-09-12,26.09,26.35,26.09,26.35,60400,26.149117
2016-09-09,26.41,26.43,26.09,26.09,29800,25.891099
2016-09-08,26.360001,26.459999,26.360001,26.459999,13200,26.258277
2016-09-07,26.360001,26.50,26.34,26.469999,41900,26.268201
2016-09-06,26.35,26.35,26.209999,26.27,35200,26.069727
2016-09-05,26.290001,26.290001,26.290001,26.290001,000,26.089575
2016-09-02,26.35,26.424999,26.33,26.42,28000,26.218583
2016-09-01,26.35,26.35,26.18,26.290001,12500,26.089575
2016-08-31,26.15,26.209999,26.110001,26.190001,36400,25.990337
2016-08-30,26.200001,26.200001,26.129999,26.190001,12000,25.990337
2016-08-29,26.01,26.07,25.950001,26.07,11200,25.871251
2016-08-26,25.98,26.08,25.860001,25.90,27500,25.702547
2016-08-25,26.049999,26.08,26.00,26.01,13900,25.811709
2016-08-24,26.16,26.209999,26.110001,26.110001,41000,25.910947
2016-08-23,26.25,26.25,26.09,26.10,21700,25.901023
2016-08-22,25.90,26.10,25.85,26.059999,11700,25.861327
2016-08-19,25.709999,25.889999,25.709999,25.889999,13100,25.692623
2016-08-18,25.889999,25.889999,25.77,25.83,19700,25.63308
2016-08-17,25.90,25.93,25.83,25.93,11700,25.732318
2016-08-16,26.00,26.01,25.879999,25.940001,28400,25.742242
2016-08-15,26.16,26.16,26.08,26.129999,9600,25.930793
2016-08-12,26.16,26.17,26.059999,26.120001,13800,25.920871
2016-08-11,26.17,26.290001,26.15,26.15,28800,25.950641
2016-08-10,26.23,26.23,26.15,26.18,13000,25.980413
2016-08-09,26.110001,26.25,26.110001,26.209999,40600,26.010183
2016-08-08,26.07,26.08,25.959999,26.01,18400,25.811709
2016-08-05,25.959999,26.049999,25.950001,26.049999,38100,25.851403
2016-08-04,25.60,25.639999,25.549999,25.60,18200,25.404834
2016-08-03,25.629999,25.629999,25.540001,25.58,21300,25.384986
2016-08-02,25.799999,25.799999,25.60,25.75,26300,25.55369
2016-07-29,25.879999,25.959999,25.879999,25.90,32300,25.702547
2016-07-28,25.870001,25.879999,25.74,25.860001,200400,25.662852
2016-07-27,25.790001,25.90,25.790001,25.879999,21700,25.682699
2016-07-26,25.77,25.83,25.74,25.77,58900,25.573538
2016-07-25,25.780001,25.790001,25.67,25.690001,23600,25.494148
2016-07-22,25.50,25.66,25.49,25.610001,31500,25.414758
2016-07-21,25.450001,25.459999,25.370001,25.459999,23400,25.2659
2016-07-20,25.43,25.49,25.40,25.49,34600,25.295672
2016-07-19,25.209999,25.24,25.129999,25.200001,30800,25.007884
2016-07-18,25.299999,25.379999,25.219999,25.25,24600,25.057502
2016-07-15,25.190001,25.23,25.120001,25.15,25200,24.958264
2016-07-14,25.26,25.32,25.16,25.17,14400,24.978112
2016-07-13,25.379999,25.42,25.139999,25.209999,23400,25.017806
2016-07-12,25.32,25.370001,25.280001,25.299999,170300,25.10712
2016-07-11,25.00,25.24,25.00,25.200001,22300,25.007884
2016-07-08,24.469999,24.66,24.450001,24.66,21000,24.472
2016-07-07,24.15,24.219999,24.15,24.18,37000,23.99566
2016-07-06,24.09,24.17,23.969999,24.15,29200,23.965888
2016-07-05,24.450001,24.52,24.18,24.299999,72500,24.114744
2016-07-04,24.67,24.799999,24.51,24.76,50800,24.571238
2016-06-30,24.440001,24.76,24.40,24.66,32600,24.472
2016-06-29,24.40,24.49,24.35,24.40,27300,24.213982
2016-06-28,24.059999,24.10,23.90,24.030001,83800,23.846804
2016-06-27,23.60,23.620001,23.309999,23.49,57900,23.31092
2016-06-24,23.92,24.42,23.85,23.959999,121600,23.777336
2016-06-23,25.41,25.58,25.309999,25.58,42100,25.384986
2016-06-22,25.139999,25.280001,25.07,25.09,42400,24.898722
2016-06-21,25.07,25.17,25.040001,25.110001,28200,24.91857
2016-06-20,25.00,25.040001,24.84,24.889999,21500,24.700246
2016-06-17,24.360001,24.469999,24.18,24.469999,32100,24.283448
2016-06-16,24.120001,24.360001,24.01,24.34,15000,24.15444
2016-06-15,24.25,24.33,24.23,24.25,23800,24.065126
2016-06-14,24.50,24.52,24.25,24.33,41100,23.709856
2016-06-13,24.73,24.82,24.610001,24.629999,83800,24.002209
2016-06-10,25.139999,25.15,24.879999,24.959999,127300,24.323797
2016-06-09,25.68,25.690001,25.559999,25.60,18100,24.947486
2016-06-08,25.90,25.92,25.84,25.889999,11200,25.230093
2016-06-07,25.950001,26.07,25.950001,25.950001,38100,25.288565
2016-06-06,26.08,26.08,25.85,25.85,21200,25.191114
2016-06-03,25.940001,25.98,25.809999,25.940001,25100,25.27882
2016-06-02,26.07,26.120001,25.950001,26.10,13100,25.434741
2016-06-01,25.950001,26.09,25.950001,26.07,30800,25.405505
2016-05-31,26.25,26.299999,26.10,26.129999,64700,25.463975
2016-05-30,26.209999,26.24,26.110001,26.139999,57000,25.473721
2016-05-27,26.17,26.17,26.01,26.07,24500,25.405505
2016-05-26,25.99,26.059999,25.93,26.00,25600,25.33729
2016-05-25,26.110001,26.25,26.030001,26.08,31800,25.415251
2016-05-24,25.76,26.040001,25.76,26.030001,69600,25.366526
2016-05-23,25.559999,25.559999,25.559999,25.559999,000,24.908504
2016-05-20,25.65,25.74,25.620001,25.67,23800,25.015701
2016-05-19,25.540001,25.559999,25.40,25.559999,50000,24.908504
2016-05-18,25.389999,25.49,25.33,25.49,23500,24.840289
2016-05-17,25.459999,25.459999,25.23,25.26,33500,24.616152
2016-05-16,25.209999,25.389999,25.209999,25.389999,23800,24.742837
2016-05-13,25.209999,25.299999,25.10,25.10,26200,24.46023
2016-05-12,25.370001,25.43,25.17,25.200001,34900,24.557682
2016-05-11,25.42,25.48,25.23,25.23,37600,24.586916
2016-05-10,25.540001,25.629999,25.530001,25.629999,15300,24.97672
2016-05-09,25.51,25.52,25.360001,25.379999,38400,24.733092
2016-05-06,25.16,25.360001,25.16,25.26,13200,24.616152
2016-05-05,25.10,25.200001,25.08,25.200001,25500,24.557682
2016-05-04,25.200001,25.219999,25.139999,25.219999,16600,24.57717
2016-05-03,25.10,25.24,25.10,25.15,25100,24.508955
2016-05-02,25.129999,25.280001,25.129999,25.27,34200,24.625897
2016-04-29,25.07,25.07,24.91,24.959999,29000,24.323797
2016-04-28,25.32,25.33,25.049999,25.110001,47200,24.469975
2016-04-27,25.450001,25.610001,25.450001,25.59,78300,24.93774
2016-04-26,25.530001,25.60,25.50,25.52,40500,24.869525
2016-04-25,25.57,25.610001,25.469999,25.559999,62100,24.908504
2016-04-22,25.620001,25.73,25.57,25.68,21600,25.025447
2016-04-21,25.799999,25.870001,25.700001,25.799999,15900,25.142387
2016-04-20,25.85,25.85,25.73,25.780001,24500,25.122898
2016-04-19,25.82,25.83,25.719999,25.77,67600,25.113153
2016-04-18,25.57,25.709999,25.57,25.610001,35500,24.957231
2016-04-15,25.59,25.629999,25.48,25.48,14400,24.830544
2016-04-14,25.610001,25.629999,25.540001,25.540001,35800,24.889016
2016-04-13,25.26,25.48,25.26,25.42,19200,24.772073
