# Symbol	Company
AAV.TO	Advantage Energy Ltd.
ABX.TO	Barrick Gold Corporation
AC.TO	Air Canada
ACO-X.TO	ATCO Ltd.
AEM.TO	Agnico Eagle Mines Limited
AG.TO	First Majestic Silver Corp.
AGI.TO	Alamos Gold Inc.
AIF.TO	Altus Group Limited
ALA.TO	AltaGas Ltd.
AP-UN.TO	Allied Properties Real Estate Investment Trust
AQN.TO	Algonquin Power & Utilities Corp.
ARX.TO	ARC Resources Ltd.
ASTL.TO	Algoma Steel Group Inc.
ATD.TO	Alimentation Couche-Tard Inc.
ATH.TO	Athabasca Oil Corporation
ATRL.TO	AtkinsRéalis Group Inc.
ATS.TO	ATS Corporation
ATZ.TO	Aritzia Inc.
AYA.TO	Aya Gold & Silver Inc.
BAM.TO	Brookfield Asset Management Ltd.
BB.TO	BlackBerry Limited
BBD-B.TO	Bombardier Inc.
BBU-UN.TO	Brookfield Business Partners L.P.
BCE.TO	BCE Inc.
BDGI.TO	Badger Infrastructure Solutions Ltd.
BDT.TO	Bird Construction Inc.
BEI-UN.TO	Boardwalk Real Estate Investment Trust
BEP-UN.TO	Brookfield Renewable Partners L.P.
BHC.TO	Bausch Health Companies Inc.
BIP-UN.TO	Brookfield Infrastructure Partners L.P.
BIR.TO	Birchcliff Energy Ltd.
BLX.TO	Boralex Inc.
BMO.TO	Bank of Montreal
BN.TO	Brookfield Corporation
BNS.TO	Bank of Nova Scotia
BTE.TO	Baytex Energy Corp.
BTO.TO	B2Gold Corp.
BYD.TO	Boyd Group Services Inc.
CAE.TO	CAE Inc.
CAR-UN.TO	Canadian Apartment Properties Real Estate Investment Trust
CCA.TO	Cogeco Communications Inc.
CCL-B.TO	CCL Industries Inc.
CCO.TO	Cameco Corporation
CEU.TO	CES Energy Solutions Corp.
CG.TO	Centerra Gold Inc.
CHP-UN.TO	Choice Properties Real Estate Investment Trust
CIGI.TO	Colliers International Group Inc.
CIX.TO	CI Financial Corp.
CJT.TO	Cargojet Inc.
CLS.TO	Celestica Inc.
CM.TO	Canadian Imperial Bank of Commerce
CNQ.TO	Canadian Natural Resources Limited
CNR.TO	Canadian National Railway Company
CP.TO	Canadian Pacific Kansas City Limited
CPX.TO	Capital Power Corporation
CRR-UN.TO	Crombie Real Estate Investment Trust
CRT-UN.TO	CT Real Estate Investment Trust
CS.TO	Capstone Copper Corp.
CSH-UN.TO	Chartwell Retirement Residences
CSU.TO	Constellation Software Inc.
CTC-A.TO	Canadian Tire Corporation Limited
CU.TO	Canadian Utilities Limited
CVE.TO	Cenovus Energy Inc.
CWB.TO	Canadian Western Bank
CXB.TO	Calibre Mining Corp.
DFY.TO	Definity Financial Corporation
DIR-UN.TO	Dream Industrial Real Estate Investment Trust
DML.TO	Denison Mines Corp.
DOL.TO	Dollarama Inc.
DOO.TO	BRP Inc.
DPM.TO	Dundee Precious Metals Inc.
DSG.TO	Descartes Systems Group Inc.
EFN.TO	Element Fleet Management Corp.
EFR.TO	Energy Fuels Inc.
EIF.TO	Exchange Income Corporation
ELD.TO	Eldorado Gold Corporation
EMA.TO	Emera Incorporated
EMP-A.TO	Empire Company Limited
ENB.TO	Enbridge Inc.
ENGH.TO	Enghouse Systems Limited
EQB.TO	EQB Inc.
EQX.TO	Equinox Gold Corp.
ERO.TO	Ero Copper Corp.
FCR-UN.TO	First Capital Real Estate Investment Trust
FFH.TO	Fairfax Financial Holdings Limited
FIL.TO	Filo Corp.
FM.TO	First Quantum Minerals Ltd.
FNV.TO	Franco-Nevada Corporation
FRU.TO	Freehold Royalties Ltd.
FSV.TO	FirstService Corporation
FTS.TO	Fortis Inc.
FTT.TO	Finning International Inc.
FVI.TO	Fortuna Mining Corp.
GEI.TO	Gibson Energy Inc.
GFL.TO	GFL Environmental Inc.
GIB-A.TO	CGI Inc.
GIL.TO	Gildan Activewear Inc.
GRT-UN.TO	Granite Real Estate Investment Trust
GSY.TO	goeasy Ltd.
